City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
554,mbanza-ngungu,CD,-5.25,14.8667,77.04,83,81,2.93,light rain
555,krasnoselkup,RU,65.7,82.4667,34.03,100,100,5.64,light snow
556,pimentel,PE,-6.8367,-79.9342,70.09,73,40,13.8,scattered clouds
557,davila,PH,18.4726,120.5763,78.46,80,7,19.6,clear sky
558,genhe,CN,50.7833,121.5167,22.82,62,10,3.6,clear sky
559,paamiut,GL,61.994,-49.6678,28.89,69,2,17.0,clear sky
560,lebu,CL,-37.6167,-73.65,60.28,67,0,14.45,clear sky
561,longyearbyen,SJ,78.2186,15.6401,28.24,74,100,13.8,overcast clouds
562,arona,ES,28.0996,-16.681,73.98,60,0,19.57,clear sky
563,mahibadhoo,MV,3.7833,72.9667,84.99,70,20,7.61,few clouds
564,portree,GB,57.4129,-6.1942,55.53,70,100,12.75,overcast clouds
565,nelson bay,AU,-32.7167,152.15,63.0,95,4,3.2,clear sky
566,dandong,CN,40.1292,124.3947,50.95,36,0,0.89,clear sky
567,pokosnoye,RU,55.5258,101.0536,35.37,95,100,3.56,overcast clouds
568,canakkale,TR,40.0833,26.8333,61.38,67,100,2.84,overcast clouds
569,hervey bay,AU,-25.2986,152.8535,70.14,66,53,13.31,broken clouds
570,cambridge,CA,43.3601,-80.3127,47.16,57,2,1.99,clear sky
571,carol stream,US,41.9125,-88.1348,42.58,58,0,6.91,clear sky
572,yabelo,ET,4.8833,38.0833,62.13,80,99,1.45,light rain
573,finschhafen,PG,-6.6024,147.8681,79.0,83,100,3.4,overcast clouds
574,bintulu,MY,3.1667,113.0333,77.77,87,100,2.19,overcast clouds
575,siniscola,IT,40.5719,9.6922,71.15,48,0,5.77,clear sky
576,chateaudun,FR,48.0833,1.3333,68.59,58,0,12.26,clear sky
577,pascagoula,US,30.3658,-88.5561,83.03,79,46,6.82,scattered clouds
578,zeya,RU,53.75,127.2667,27.73,74,83,6.24,broken clouds
579,goya,AR,-29.14,-59.2626,70.14,55,1,6.49,clear sky
580,geraldton,AU,-28.7667,114.6,68.41,73,40,14.97,scattered clouds
581,divnomorskoye,RU,44.5011,38.1353,49.75,77,21,2.15,few clouds
582,waingapu,ID,-9.6567,120.2641,79.9,86,46,5.44,scattered clouds
583,taoudenni,ML,22.6783,-3.9836,92.75,10,0,14.74,clear sky
584,laguna,US,38.421,-121.4238,56.44,94,40,14.97,scattered clouds
585,agadir,MA,30.4202,-9.5982,95.45,26,42,9.26,scattered clouds
586,manaure,CO,11.7751,-72.4445,88.29,55,32,21.27,scattered clouds
587,high level,CA,58.5169,-117.136,24.28,90,100,5.59,light snow
588,berlevag,NO,70.8578,29.0864,35.4,95,100,30.71,overcast clouds
589,haines junction,CA,60.7522,-137.5108,20.01,84,100,2.15,overcast clouds
590,monroe,US,43.1501,-77.6831,39.45,92,100,1.99,overcast clouds
591,coahuayana,MX,18.7333,-103.6833,85.46,41,43,4.29,scattered clouds
592,te anau,NZ,-45.4167,167.7167,39.81,94,39,2.24,scattered clouds
593,demirci,TR,39.0461,28.6589,62.19,44,92,2.66,overcast clouds
594,waddan,LY,29.1614,16.139,84.09,22,0,18.1,clear sky
595,labrea,BR,-7.2586,-64.7981,78.39,92,100,1.25,overcast clouds
596,corinto,GR,37.9407,22.9573,69.42,36,1,7.54,clear sky
597,ankara,TR,39.9199,32.8543,64.2,37,0,4.61,clear sky
598,siocon,PH,7.7061,122.1353,78.89,87,46,3.85,scattered clouds
599,nikolayevsk-na-amure,RU,53.1406,140.73,28.67,96,100,5.01,overcast clouds
600,cayhagan,PH,9.6697,122.4256,78.58,83,17,3.65,few clouds
601,camacha,PT,33.0833,-16.3333,67.42,56,20,17.27,few clouds
602,abu dhabi,AE,24.4667,54.3667,89.62,49,0,3.44,clear sky
603,la asuncion,VE,11.0333,-63.8628,81.25,73,21,17.31,few clouds
604,beringovskiy,RU,63.05,179.3167,28.67,97,100,19.91,snow
605,angol,CL,-37.8,-72.7167,70.99,36,1,5.86,clear sky
606,aswan,EG,24.0934,32.907,96.71,7,0,10.85,clear sky
607,solwezi,ZM,-12.1688,26.3894,66.24,94,86,5.26,light rain
608,pacifica,US,37.6138,-122.4869,57.42,91,100,10.0,mist
609,ust-nera,RU,64.5667,143.2,0.9,98,90,2.75,overcast clouds
610,zavallya,UA,48.2135,30.0156,49.37,83,83,18.1,broken clouds
611,dire dawa,ET,9.5931,41.8661,80.24,47,89,7.61,overcast clouds
612,port blair,IN,11.6667,92.75,80.64,83,20,2.3,mist
613,aripuana,BR,-9.1667,-60.6333,81.97,82,93,0.18,light rain
614,fiumicino,IT,41.7675,12.2291,75.76,52,0,9.22,clear sky
615,bardiyah,LY,31.7561,25.0865,77.16,39,98,26.89,overcast clouds
616,severnyy,RU,50.677,36.5532,57.24,67,75,8.95,light intensity shower rain
617,maniitsoq,GL,65.4167,-52.9,22.69,53,0,3.11,clear sky
618,mayo,US,38.8876,-76.5119,73.67,37,0,10.36,clear sky
619,bairiki,KI,1.3292,172.9752,78.8,94,20,2.3,few clouds
620,bendigo,AU,-36.7667,144.2833,56.64,73,91,3.44,overcast clouds
621,bowen,AU,-20.0167,148.2333,74.07,75,89,14.09,overcast clouds
622,cap-aux-meules,CA,47.3821,-61.8597,40.3,72,91,27.56,overcast clouds
623,goderich,CA,43.7501,-81.7165,36.91,58,1,10.71,clear sky
624,novo aripuana,BR,-5.1206,-60.3797,86.23,68,89,3.4,overcast clouds
625,pochutla,MX,15.7432,-96.4661,90.82,43,39,6.13,scattered clouds
626,houma,US,29.5958,-90.7195,82.99,81,75,11.5,broken clouds
627,paraiso,CR,9.8383,-83.8656,76.96,71,88,4.21,overcast clouds
628,meulaboh,ID,4.1363,96.1285,79.79,84,38,2.42,scattered clouds
